@relation data

@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute featured numeric

@data
0.761,0.5,11,-8.068,1,0.102,0.149,0.000006,0.106,0.584,115.973,180000,4,1
0.652,0.897,7,-4.481,0,0.036,0.293,0,0.0722,0.475,114.033,193377,4,1
0.763,0.76,1,-6.62,1,0.389,0.22,0,0.0741,0.0693,129.954,162462,4,1
0.62,0.869,6,-4.883,0,0.26,0.015,0.00179,0.102,0.866,82.699,174878,4,1
0.678,0.477,7,-9.626,1,0.0836,0.567,0,0.11,0.481,92.963,185828,4,1
0.599,0.929,9,-4.704,0,0.0427,0.0301,0.000119,0.102,0.548,124.022,210212,4,1
0.528,0.575,11,-7.188,0,0.171,0.475,0.000197,0.485,0.394,170.04,205329,4,1
0.426,0.778,6,-6.591,1,0.121,0.0136,0,0.107,0.637,84.421,178318,4,1
0.537,0.307,11,-10.841,0,0.0388,0.6,0.000486,0.0934,0.379,104.006,151539,4,1
0.265,0.309,8,-10.15,0,0.0445,0.921,0.000592,0.186,0.25,58.915,230347,3,1
0.661,0.498,8,-7.26,1,0.351,0.157,0,0.2,0.677,96.029,208467,4,1
0.565,0.867,8,-5.856,1,0.0655,0.00893,0,0.262,0.751,120.054,222453,4,1
0.457,0.582,8,-8.34,1,0.0317,0.129,0.00414,0.107,0.119,148.954,260533,4,1
0.648,0.497,0,-9.729,1,0.0331,0.439,0.0141,0.165,0.539,120.076,177259,4,1
0.659,0.531,5,-7.646,1,0.202,0.369,0,0.107,0.522,166.495,153287,4,1
0.73,0.498,6,-8.571,1,0.196,0.229,0.00054,0.108,0.53,80.95,240000,4,1
0.608,0.405,4,-11.572,1,0.0307,0.551,0.000016,0.126,0.635,138.051,213467,4,1
0.512,0.917,3,-3.688,1,0.0801,0.000171,0.187,0.392,0.243,133.477,230013,4,1
0.686,0.613,5,-7.943,1,0.048,0.399,0,0.0514,0.629,109.992,210667,4,1
